surface_id,surface,label,count,status,reason,canonical,label_final,label_conflict,labels_seen,package_count,document_count,example_sentence_id,example_text,example_path
sf_ced538df174bbfaa,giấy phép lái xe,DOCUMENT,167,accept,auto_accept_count_ge_3,giấy phép lái xe,DOCUMENT,False,DOCUMENT:167,6,6,118_2025_qh15.dieu_7.khoan_14.diem_b.text_1.passage.s002,giấy phép lái xe,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 14. Sửa đổi, bổ sung một số điểm, khoản của Điều 62 như sau: > Điểm b. Sửa đổi, bổ sung khoản 6 như sau: > Đoạn 1"
sf_2964c23d481a9ee0,phòng cảnh sát giao thông,ACTOR,125,accept,auto_accept_count_ge_3,phòng cảnh sát giao thông,ACTOR,False,ACTOR:125,3,3,12_2025_tt_bca.dieu_19.khoan_2.diem_c.passage.s001,Phòng Cảnh sát giao thông,"12/2025/TT-BCA > Chương III. CẤP, ĐỔI, CẤP LẠI, THU HỒI GIẤY PHÉP LÁI XE > Điều 19. Cấp giấy phép lái xe > Khoản 2. Việc cấp giấy phép lái xe cho người có giấy phép lái xe ô tô các hạng mà quá thời hạn sử dụng; mất giấy phép lái xe ô tô và giấy phép lái xe đó quá thời hạn sử dụng bao gồm cả người có giấy phép lái xe quân sự do Bộ Quốc phòng cấp, giấy phép lái xe trong Công an nhân dân khi thôi không còn làm nhiệm vụ quốc phòng, an ninh thực hiện như sau: > Điểm c. Trường hợp người có giấy phép lái xe được quy định tại điểm a khoản này sát hạch không đạt kết quả để được cấp giấy phép lái xe nếu có nhu cầu thì đăng ký với Phòng Cảnh sát giao thông để tham gia sát hạch lại."
sf_0b9c8f5fd8c2a311,cục cảnh sát giao thông,ACTOR,108,accept,auto_accept_count_ge_3,cục cảnh sát giao thông,ACTOR,False,ACTOR:108,5,5,12_2025_tt_bca.dieu_23.khoan_1.diem_a.passage.s002,Cục Cảnh sát giao thông,"12/2025/TT-BCA > Chương III. CẤP, ĐỔI, CẤP LẠI, THU HỒI GIẤY PHÉP LÁI XE > Điều 23. Đổi giấy phép lái xe trong Công an nhân dân > Khoản 1. Yêu cầu đối với việc đổi giấy phép lái xe trong Công an nhân dân khi thôi không còn phục vụ trong lực lượng Công an > Điểm a. Người có giấy phép lái xe còn thời hạn sử dụng; bị mất, bị hỏng nhưng vẫn còn thời hạn sử dụng, có thông tin trong hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông hoặc bảng kê danh sách cấp giấy phép lái xe (sổ quản lý) có nhu cầu được đổi giấy phép lái xe;"
sf_a5aec3aa6d6e4f8d,xe ô tô,VEHICLE,69,accept,auto_accept_count_ge_3,xe ô tô,VEHICLE,False,VEHICLE:69,8,8,100_2015_qh13.dieu_265.khoan_1.passage.s001,xe ô tô,"100/2015/QH13 > Phần thứ hai. CÁC TỘI PHẠM > Chương XXI. CÁC TỘI XÂM PHẠM AN TOÀN CÔNG CỘNG, TRẬT TỰ CÔNG CỘNG > Mục 1. CÁC TỘI XÂM PHẠM AN TOÀN GIAO THÔNG > Điều 265. Tội tổ chức đua xe trái phép > Khoản 1. Người nào tổ chức trái phép việc đua xe ô tô, xe máy hoặc các loại xe khác có gắn động cơ, thì bị phạt tiền từ 30.000.000 đồng đến 100.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm."
sf_d9c304ae2831c7c8,thí sinh,ACTOR,64,accept,auto_accept_count_ge_3,thí sinh,ACTOR,False,ACTOR:64,1,1,12_2025_tt_bca.phu_luc_vi_quy_trinh_sat_hach_hang_c1e_ce.appendix_item_decimal_1.2.passage.s001,thí sinh,"Phụ lục VI > QUY TRÌNH SÁT HẠCH HẠNG C1E, CE > C. SÁT HẠCH THỰC HÀNH > I. Sát hạch lái xe trong hình > 1. Đối với sát hạch viên: > 1.2. Kiểm tra nhận dạng, đối chiếu căn cước công dân hoặc căn cước hoặc hộ chiếu và giấy phép lái xe với thí sinh và tên thí sinh ghi trên biên bản tổng hợp kết quả sát hạch; ký tên vào biên bản tổng hợp kết quả sát hạch; theo dõi, giám sát thí sinh tiếp nhận xe sát hạch được giao."
sf_c09936ba10ad7868,xe sát hạch,VEHICLE,56,accept,auto_accept_count_ge_3,xe sát hạch,VEHICLE,False,VEHICLE:56,1,1,12_2025_tt_bca.dieu_5.khoan_1.text_1.passage.s001,xe sát hạch,12/2025/TT-BCA > Chương II. SÁT HẠCH LÁI XE > Điều 5. Tiêu chuẩn kỹ thuật sân tập lái dùng để sát hạch lái xe mô tô > Khoản 1. Đối với sân tập lái dùng để sát hạch lái xe mô tô trang bị máy tính để sát hạch lý thuyết và thiết bị chấm điểm tự động để sát hạch lái xe trong hình > Đoạn 1
sf_68a55ed732ddd40e,xe cơ giới nước ngoài,VEHICLE,51,accept,auto_accept_count_ge_3,xe cơ giới nước ngoài,VEHICLE,False,VEHICLE:51,1,1,151_2024_nd_cp.dieu_33.khoan_3.diem_b.text_1.passage.s001,xe cơ giới nước ngoài,"151/2024/ND-CP > Chương VI. BẢO ĐẢM TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ ĐỐI VỚI XE Ô TÔ CỦA NGƯỜI NƯỚC NGOÀI ĐĂNG KÝ TẠI NƯỚC NGOÀI CÓ TAY LÁI Ở BÊN PHẢI THAM GIA GIAO THÔNG TẠI VIỆT NAM; XE CƠ GIỚI NƯỚC NGOÀI DO NGƯỜI NƯỚC NGOÀI ĐƯA VÀO VIỆT NAM DU LỊCH > Điều 33. Chấp thuận doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam được tổ chức cho người nước ngoài đưa xe cơ giới nước ngoài vào Việt Nam du lịch hoặc tổ chức, cá nhân đưa xe ô tô có tay lái ở bên phải vào tham gia giao thông tại Việt Nam không phải mục đích du lịch > Khoản 3. Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ quy định tại khoản 1, khoản 2 Điều này, Cục Cảnh sát giao thông, Bộ Công an có văn bản trả lời chấp thuận hoặc không chấp thuận, cụ thể: > Điểm b. Trường hợp từ chối, không chấp thuận phải có văn bản trả lời theo Mẫu số 04c Phụ lục IV kèm theo Nghị định này, gửi trực tiếp hoặc trực tuyến hoặc qua dịch vụ bưu chính cho tổ chức, cá nhân đã gửi hồ sơ trước đó. > Đoạn 1"
sf_8c59bba21497586f,người lái xe,ACTOR,46,accept,auto_accept_count_ge_3,người lái xe,ACTOR,False,ACTOR:46,5,5,118_2025_qh15.dieu_7.khoan_3.text_1.passage.s001,người lái xe,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 3. Sửa đổi, bổ sung khoản 3 Điều 10 như sau: > Đoạn 1"
sf_d7fa271553320720,hộ chiếu,DOCUMENT,46,accept,auto_accept_count_ge_3,hộ chiếu,DOCUMENT,False,DOCUMENT:46,5,5,118_2025_qh15.dieu_3.khoan_5.text_1.passage.s002,hộ chiếu,"118/2025/QH15 > Điều 3. Sửa đổi, bổ sung một số điều của Luật Xuất cảnh, nhập cảnh của công dân Việt Nam > Khoản 5. Sửa đổi, bổ sung khoản 1 Điều 15 như sau: > Đoạn 1"
sf_ec10da512bd0d114,sát hạch viên,ACTOR,43,accept,auto_accept_count_ge_3,sát hạch viên,ACTOR,False,ACTOR:43,1,1,12_2025_tt_bca.dieu_13.khoan_1.diem_a.passage.s002,sát hạch viên,"12/2025/TT-BCA > Chương II. SÁT HẠCH LÁI XE > Điều 13. Sát hạch lái xe đối với người khuyết tật > Khoản 1. Sát hạch để cấp giấy phép lái xe hạng A1 điều khiển xe mô tô ba bánh > Điểm a. Thí sinh thực hiện sát hạch lý thuyết và sát hạch lái xe trong hình theo nội dung và quy trình quy định tại khoản 1, 2 Điều 4 và Phụ lục III ban hành kèm theo Thông tư này; sát hạch tại trung tâm sát hạch lái xe hoặc sân tập lái dùng để sát hạch lái xe mô tô có đủ điều kiện, có hai sát hạch viên chấm điểm trực tiếp;"
sf_f853e45448260f6a,chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ,DOCUMENT,41,accept,auto_accept_count_ge_3,chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ,DOCUMENT,False,DOCUMENT:41,2,2,14_2025_tt_bxd.dieu_1.text_1.passage.s003,chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ,14/2025/TT-BXD > Chương I. QUY ĐỊNH CHUNG > Điều 1. Phạm vi điều chỉnh > Đoạn 1
sf_c1af194bba09fe68,đơn vị kinh doanh vận tải,ACTOR,40,accept,auto_accept_count_ge_3,đơn vị kinh doanh vận tải,ACTOR,False,ACTOR:40,2,2,151_2024_nd_cp.dieu_11.khoan_10.diem_a.passage.s003,đơn vị kinh doanh vận tải,"151/2024/ND-CP > Chương III. CƠ SỞ DỮ LIỆU VỀ TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ; THU THẬP, QUẢN LÝ, KHAI THÁC, KẾT NỐI, CHIA SẺ THÔNG TIN TRONG CƠ SỞ DỮ LIỆU VỀ TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ > Điều 11. Thông tin trong Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ > Khoản 10. Thông tin về hành trình của phương tiện giao thông đường bộ, hình ảnh người lái xe: > Điểm a. Thông tin về phương tiện: biển số xe, loại xe, màu sơn, nhãn hiệu, số loại, năm sản xuất; số, ngày, tháng, năm cấp, ngày, tháng, năm hết hạn của giấy chứng nhận kiểm định; thông tin về đơn vị kinh doanh vận tải, đơn vị cứu thương, cứu hộ giao thông, chủ xe;"
sf_2f0c6ce457ae85c8,bộ công an,ACTOR,39,accept,auto_accept_count_ge_3,bộ công an,ACTOR,False,ACTOR:39,6,6,118_2025_qh15.dieu_3.khoan_12.text_1.passage.s002,Bộ Công an,"118/2025/QH15 > Điều 3. Sửa đổi, bổ sung một số điều của Luật Xuất cảnh, nhập cảnh của công dân Việt Nam > Khoản 12. Sửa đổi, bổ sung khoản 2 Điều 46 như sau: > Đoạn 1"
sf_c38b28461bf669bd,xe máy chuyên dùng,VEHICLE,37,accept,auto_accept_count_ge_3,xe máy chuyên dùng,VEHICLE,False,VEHICLE:37,8,8,100_2015_qh13.dieu_262.khoan_1.passage.s001,xe máy chuyên dùng,"100/2015/QH13 > Phần thứ hai. CÁC TỘI PHẠM > Chương XXI. CÁC TỘI XÂM PHẠM AN TOÀN CÔNG CỘNG, TRẬT TỰ CÔNG CỘNG > Mục 1. CÁC TỘI XÂM PHẠM AN TOÀN GIAO THÔNG > Điều 262. Tội đưa vào sử dụng các phương tiện giao thông cơ giới đường bộ, xe máy chuyên dùng không bảo đảm tiêu chuẩn an toàn kỹ thuật tham gia giao thông > Khoản 1. Người nào chịu trách nhiệm trực tiếp về việc điều động hoặc về tình trạng kỹ thuật mà cho phép đưa vào sử dụng phương tiện giao thông cơ giới đường bộ, xe máy chuyên dùng không bảo đảm tiêu chuẩn an toàn kỹ thuật tham gia giao thông thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 20.000.000 đồng đến 100.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm:"
sf_77f3a3cca15e85eb,sở xây dựng,ACTOR,36,accept,auto_accept_count_ge_3,sở xây dựng,ACTOR,False,ACTOR:36,2,2,12_2025_tt_bxd.phu_luc_iii_giay_phep_luu_hanh_xe_qua_tai_trong_xe_qua_kho_gioi_han_xe_van_chuye_c92720a0.table_3.passage.s001,Sở Xây dựng,"Phụ lục III > GIẤY PHÉP LƯU HÀNH XE QUÁ TẢI TRỌNG, XE QUÁ KHỔ GIỚI HẠN, XE VẬN CHUYỂN HÀNG SIÊU TRƯỜNG, SIÊU TRỌNG TRÊN ĐƯỜNG BỘ > 8. Số điện thoại liên hệ của cơ quan cấp giấy phép lưu hành xe: > Bảng 3"
sf_2813a4620d4d407b,cơ sở đào tạo lái xe,ACTOR,34,accept,auto_accept_count_ge_3,cơ sở đào tạo lái xe,ACTOR,True,ACTOR:34; INFRASTRUCTURE:17,3,3,12_2025_tt_bca.dieu_19.khoan_2.diem_b.passage.s001,cơ sở đào tạo lái xe,"12/2025/TT-BCA > Chương III. CẤP, ĐỔI, CẤP LẠI, THU HỒI GIẤY PHÉP LÁI XE > Điều 19. Cấp giấy phép lái xe > Khoản 2. Việc cấp giấy phép lái xe cho người có giấy phép lái xe ô tô các hạng mà quá thời hạn sử dụng; mất giấy phép lái xe ô tô và giấy phép lái xe đó quá thời hạn sử dụng bao gồm cả người có giấy phép lái xe quân sự do Bộ Quốc phòng cấp, giấy phép lái xe trong Công an nhân dân khi thôi không còn làm nhiệm vụ quốc phòng, an ninh thực hiện như sau: > Điểm b. Người có giấy phép lái xe được quy định tại điểm a khoản này có nhu cầu ôn tập thì đăng ký với các cơ sở đào tạo lái xe hoặc trung tâm sát hạch lái xe để được hướng dẫn ôn tập;"
sf_42188039fcfbb586,xe bánh xích,VEHICLE,34,accept,auto_accept_count_ge_3,xe bánh xích,VEHICLE,False,VEHICLE:34,3,3,118_2025_qh15.dieu_7.khoan_10.text_1.passage.s004,xe bánh xích,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 10. Sửa đổi, bổ sung khoản 9 Điều 52 như sau: > Đoạn 1"
sf_80a20870525b08f6,công an cấp xã,ACTOR,30,accept,auto_accept_count_ge_3,công an cấp xã,ACTOR,False,ACTOR:30,2,2,12_2025_tt_bca.dieu_21.khoan_3.diem_d.passage.s001,Công an cấp xã,"12/2025/TT-BCA > Chương III. CẤP, ĐỔI, CẤP LẠI, THU HỒI GIẤY PHÉP LÁI XE > Điều 21. Đổi giấy phép lái xe > Khoản 3. Trình tự thực hiện > Điểm d. Việc trả giấy phép lái xe được thực hiện tại Phòng Cảnh sát giao thông hoặc Công an cấp xã nơi được bố trí điểm tiếp nhận hoặc thông qua dịch vụ bưu chính theo yêu cầu của cá nhân; trường hợp nộp hồ sơ qua hệ thống dịch vụ công trực tuyến, giấy phép lái xe được trả cho đúng cá nhân đổi giấy phép lái xe, khi nhận giấy phép lái xe, người lái xe chịu trách nhiệm gửi giấy phép lái xe đã được cấp đến cơ quan cấp giấy phép lái xe để tiêu hủy theo quy định, trừ trường hợp đổi giấy phép lái xe cho người có giấy phép lái xe tích hợp đang trong thời gian bị tước giấy phép lái xe."
sf_0e1cbb383919808d,người nước ngoài,ACTOR,29,accept,auto_accept_count_ge_3,người nước ngoài,ACTOR,False,ACTOR:29,3,3,118_2025_qh15.dieu_2.khoan_13.text_1.passage.s001,người nước ngoài,"118/2025/QH15 > Điều 2. Sửa đổi, bổ sung một số điều của Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam > Khoản 13. Sửa đổi, bổ sung khoản 3 Điều 46 như sau: > Đoạn 1"
sf_f6096d20c7e800c2,giấy phép lưu hành xe,DOCUMENT,29,accept,auto_accept_count_ge_3,giấy phép lưu hành xe,DOCUMENT,False,DOCUMENT:29,1,1,12_2025_tt_bxd.dieu_22.khoan_2.passage.s001,Giấy phép lưu hành xe,"12/2025/TT-BXD > Chương VI. CẤP GIẤY PHÉP LƯU HÀNH XE QUÁ TẢI TRỌNG, XE QUÁ KHỔ GIỚI HẠN, XE BÁNH XÍCH, XE VẬN CHUYỂN HÀNG SIÊU TRƯỜNG, SIÊU TRỌNG TRÊN ĐƯỜNG BỘ > Điều 22. Quy định chung về cấp giấy phép lưu hành xe quá tải trọng, xe quá khổ giới hạn, xe bánh xích, xe vận chuyển hàng siêu trường, siêu trọng trên đường bộ > Khoản 2. Giấy phép lưu hành xe được cấp cho xe hoặc tổ hợp xe lưu hành trên từng tuyến, đoạn tuyến đường bộ cụ thể (bao gồm cả việc cho phép đi ngược chiều đường trong trường hợp công trình đường bộ hạn chế về tải trọng, khổ giới hạn và cần phải tổ chức giao thông cho phép đi ngược chiều), một chiều hoặc cả hai chiều (từ nơi đi đến nơi đến và ngược lại) của từng chuyến vận chuyển hoặc từng đợt vận chuyển (đối với trường hợp vận chuyển nhiều chuyến có kích thước bao ngoài, khối lượng toàn bộ và tải trọng trục xe, cụm trục xe tương đương trên cùng tuyến đường vận chuyển)."
sf_1cfa92d9890f07b2,giấy phép kinh doanh vận tải bằng xe ô tô,DOCUMENT,28,accept,auto_accept_count_ge_3,giấy phép kinh doanh vận tải bằng xe ô tô,DOCUMENT,False,DOCUMENT:28,1,1,158_2024_nd_cp.dieu_21.khoan_8.diem_b.passage.s001,giấy phép kinh doanh vận tải bằng xe ô tô,"158/2024/ND-CP > Chương II. QUY ĐỊNH VỀ HOẠT ĐỘNG VẬN TẢI ĐƯỜNG BỘ TRONG NƯỚC > Mục 4. QUY ĐỊNH VỀ CẤP, THU HỒI GIẤY PHÉP KINH DOANH VẬN TẢI BẰNG XE Ô TÔ, BẰNG XE BỐN BÁNH CÓ GẮN ĐỘNG CƠ; CẤP, THU HỒI PHÙ HIỆU; ĐĂNG KÝ KHAI THÁC, NGỪNG HOẠT ĐỘNG, THU HỒI KHAI THÁC TUYẾN VẬN TẢI HÀNH KHÁCH CỐ ĐỊNH > Điều 21. Thủ tục cấp, cấp lại và thu hồi Giấy phép kinh doanh bằng xe ô tô, bằng xe bốn bánh có gắn động cơ > Khoản 8. Sở Giao thông vận tải > Điểm b. Định kỳ từ ngày 01 đến ngày 05 hằng tháng, công bố danh sách phương tiện (biển số đăng ký xe), loại phù hiệu đã cấp và thời hạn có hiệu lực của phù hiệu) và đơn vị kinh doanh vận tải (tên đơn vị, loại hình kinh doanh đã được cấp, thời hạn có hiệu lực của giấy phép kinh doanh vận tải bằng xe ô tô; danh sách phương tiện bị thu hồi, bị tước phù hiệu; danh sách đơn vị kinh doanh vận tải bị thu hồi, bị tước giấy phép kinh doanh vận tải bằng xe ô tô của tháng liền trước trên Trang thông tin điện tử của Sở Giao thông vận tải để phục vụ công tác kiểm tra, giám sát."
sf_98bf1253ade3bfb4,doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của việt nam,ACTOR,27,accept,auto_accept_count_ge_3,doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của việt nam,ACTOR,False,ACTOR:27,1,1,151_2024_nd_cp.mau_so_04b_vb_chap_thuan_dn_kinh_doanh_dich_vu_lu_hanh_quoc_te_cua_vn_to_chuc_ch_ad6aaab5.field_cuc_canh_sat_giao_thong_nhan_dduoc_van_ban_so_7.passage.s001,doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam,"Mẫu số 04b > Văn bản chấp thuận doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam tổ chức cho người nước ngoài đưa xe cơ giới nước ngoài vào Việt Nam du lịch; tổ chức, cá nhân đưa xe ô tô có tay lái ở bên phải vào tham gia giao thông tại Việt Nam không phải mục đích du lịch > Mẫu số 04b. Văn bản chấp thuận doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam tổ chức cho người nước ngoài đưa xe cơ giới nước ngoài vào Việt Nam du lịch; tổ chức, cá nhân đưa xe ô tô có tay lái ở bên phải vào tham gia giao thông tại Việt Nam không phải mục đích du lịch > Cục Cảnh sát giao thông nhận được văn bản số"
sf_558dc57a217cd6f3,xe gắn máy,VEHICLE,27,accept,auto_accept_count_ge_3,xe gắn máy,VEHICLE,False,VEHICLE:27,6,6,118_2025_qh15.dieu_7.khoan_8.diem_b.text_1.passage.s001,xe gắn máy,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 8. Sửa đổi, bổ sung một số điểm, khoản của Điều 42 như sau: > Điểm b. Sửa đổi, bổ sung điểm e khoản 5 như sau: > Đoạn 1"
sf_4ed40b35d4b893f2,xe quá tải trọng,VEHICLE,27,accept,auto_accept_count_ge_3,xe quá tải trọng,VEHICLE,False,VEHICLE:27,3,3,118_2025_qh15.dieu_7.khoan_10.text_1.passage.s004,xe quá tải trọng,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 10. Sửa đổi, bổ sung khoản 9 Điều 52 như sau: > Đoạn 1"
sf_e66e60b37cf27127,giấy phép sử dụng thiết bị phát tín hiệu của xe ưu tiên,DOCUMENT,26,accept,auto_accept_count_ge_3,giấy phép sử dụng thiết bị phát tín hiệu của xe ưu tiên,DOCUMENT,False,DOCUMENT:26,1,1,151_2024_nd_cp.mau_so_02a_giay_phep_su_dung_thiet_bi_phat_tin_hieu_cua_xe_uu_tien.table_1.passage.s001,GIẤY PHÉP SỬ DỤNG THIẾT BỊ PHÁT TÍN HIỆU CỦA XE ƯU TIÊN,Mẫu số 02a > Giấy phép sử dụng thiết bị phát tín hiệu của xe ưu tiên > Mẫu số 02a. Giấy phép sử dụng thiết bị phát tín hiệu của xe ưu tiên > Bảng 1
sf_b120442ad0da2e49,xe ô tô có tay lái ở bên phải,VEHICLE,26,accept,auto_accept_count_ge_3,xe ô tô có tay lái ở bên phải,VEHICLE,True,VEHICLE:26; VEHICLE_CONDITION_OR_EQUIPMENT:4,1,1,151_2024_nd_cp.dieu_33.khoan_3.diem_b.text_1.passage.s001,xe ô tô có tay lái ở bên phải,"151/2024/ND-CP > Chương VI. BẢO ĐẢM TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ ĐỐI VỚI XE Ô TÔ CỦA NGƯỜI NƯỚC NGOÀI ĐĂNG KÝ TẠI NƯỚC NGOÀI CÓ TAY LÁI Ở BÊN PHẢI THAM GIA GIAO THÔNG TẠI VIỆT NAM; XE CƠ GIỚI NƯỚC NGOÀI DO NGƯỜI NƯỚC NGOÀI ĐƯA VÀO VIỆT NAM DU LỊCH > Điều 33. Chấp thuận doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam được tổ chức cho người nước ngoài đưa xe cơ giới nước ngoài vào Việt Nam du lịch hoặc tổ chức, cá nhân đưa xe ô tô có tay lái ở bên phải vào tham gia giao thông tại Việt Nam không phải mục đích du lịch > Khoản 3. Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ quy định tại khoản 1, khoản 2 Điều này, Cục Cảnh sát giao thông, Bộ Công an có văn bản trả lời chấp thuận hoặc không chấp thuận, cụ thể: > Điểm b. Trường hợp từ chối, không chấp thuận phải có văn bản trả lời theo Mẫu số 04c Phụ lục IV kèm theo Nghị định này, gửi trực tiếp hoặc trực tuyến hoặc qua dịch vụ bưu chính cho tổ chức, cá nhân đã gửi hồ sơ trước đó. > Đoạn 1"
sf_f8321ec4017160ee,trung tâm sát hạch lái xe,INFRASTRUCTURE,25,accept,auto_accept_count_ge_3,trung tâm sát hạch lái xe,INFRASTRUCTURE,True,INFRASTRUCTURE:25; ACTOR:7,2,2,118_2025_qh15.dieu_7.khoan_13.diem_b.text_1.passage.s001,trung tâm sát hạch lái xe,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 13. Sửa đổi, bổ sung một số khoản của Điều 61 như sau: > Điểm b. Sửa đổi, bổ sung khoản 6, khoản 7 và bổ sung khoản 8 vào sau khoản 7 như sau: > Đoạn 1"
sf_0a6618641287cf41,chủ phương tiện,ACTOR,24,accept,auto_accept_count_ge_3,chủ phương tiện,ACTOR,False,ACTOR:24,5,5,118_2025_qh15.dieu_7.khoan_9.text_1.passage.s006,chủ phương tiện,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 9. Sửa đổi, bổ sung khoản 1 Điều 43 như sau: > Đoạn 1"
sf_2d629c864958cc4c,"hệ thống thông tin quản lý, giám sát đào tạo lái xe",INFRASTRUCTURE,24,accept,auto_accept_count_ge_3,"hệ thống thông tin quản lý, giám sát đào tạo lái xe",INFRASTRUCTURE,False,INFRASTRUCTURE:24,1,1,14_2025_tt_bxd.dieu_25.khoan_2.diem_g.passage.s001,"Hệ thống thông tin quản lý, giám sát đào tạo lái xe","14/2025/TT-BXD > Chương IV. HỆ THỐNG THÔNG TIN ĐÀO TẠO LÁI XE, CHỨNG CHỈ BỒI DƯỠNG KIẾN THỨC PHÁP LUẬT VỀ GIAO THÔNG ĐƯỜNG BỘ > Điều 25. Yêu cầu đối với Hệ thống thông tin về đào tạo lái xe, chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ > Khoản 2. Hệ thống thông tin quản lý, giám sát đào tạo lái xe tại Sở Xây dựng: > Điểm g. Có chức năng kiểm tra, cập nhật giấy xác nhận hoàn thành khóa đào tạo lái xe đủ điều kiện đồng bộ lên Hệ thống thông tin quản lý, giám sát đào tạo lái xe tại Cục Đường bộ Việt Nam và thông báo cho cơ sở đào tạo lái xe về giấy xác nhận hoàn thành khóa đào tạo lái xe không đủ điều kiện đồng bộ;"
sf_ff340688a32829a8,xe quá khổ giới hạn,VEHICLE,24,accept,auto_accept_count_ge_3,xe quá khổ giới hạn,VEHICLE,False,VEHICLE:24,3,3,118_2025_qh15.dieu_7.khoan_10.text_1.passage.s004,xe quá khổ giới hạn,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 10. Sửa đổi, bổ sung khoản 9 Điều 52 như sau: > Đoạn 1"
sf_afd93b077bc63608,tổ chức hành nghề đấu giá tài sản,ACTOR,23,accept,auto_accept_count_ge_3,tổ chức hành nghề đấu giá tài sản,ACTOR,False,ACTOR:23,1,1,156_2024_nd_cp.dieu_9.khoan_1.passage.s001,tổ chức hành nghề đấu giá tài sản,"156/2024/ND-CP > Chương II. TRÌNH TỰ, THỦ TỤC ĐẤU GIÁ BIỂN SỐ XE > Điều 9. Lựa chọn tổ chức hành nghề đấu giá tài sản > Khoản 1. Bộ Công an lựa chọn tổ chức hành nghề đấu giá tài sản có Trang thông tin đấu giá trực tuyến, bảo đảm điều kiện an toàn, an ninh mạng khi kết nối với Hệ thống quản lý đấu giá biển số xe để tổ chức đấu giá biển số xe."
sf_8eecdb3438d2620d,vận chuyển,BEHAVIOR,23,accept,auto_accept_count_ge_3,vận chuyển,BEHAVIOR,False,BEHAVIOR:23,2,2,100_2015_qh13.dieu_253.khoan_1.passage.s001,vận chuyển,"100/2015/QH13 > Phần thứ hai. CÁC TỘI PHẠM > Chương XX. CÁC TỘI PHẠM VỀ MA TÚY > Điều 253. Tội tàng trữ, vận chuyển, mua bán hoặc chiếm đoạt tiền chất dùng vào việc sản xuất trái phép chất ma túy > Khoản 1. Người nào tàng trữ, vận chuyển, mua bán hoặc chiếm đoạt tiền chất dùng vào việc sản xuất trái phép chất ma túy thuộc một trong những trường hợp sau đây, thì bị phạt tù từ 01 năm đến 06 năm:"
sf_55486a38f4e7ae34,xe cơ giới,VEHICLE,23,accept,auto_accept_count_ge_3,xe cơ giới,VEHICLE,False,VEHICLE:23,3,3,118_2025_qh15.dieu_7.khoan_6.text_1.passage.s004,xe cơ giới,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 6. Sửa đổi, bổ sung khoản 2 và khoản 3 Điều 35 như sau: > Đoạn 1"
