surface_id,surface,label,count,status,reason,canonical,label_final,label_conflict,labels_seen,package_count,document_count,example_sentence_id,example_text,example_path
sf_ecd6590ce4827c17,xe có kết cấu chuyên dùng phục vụ tang lễ,VEHICLE,1,review,low_frequency,xe có kết cấu chuyên dùng phục vụ tang lễ,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_6.khoan_5.diem_a.passage.s001,Xe có kết cấu chuyên dùng phục vụ tang lễ,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 6. Đối tượng miễn thu phí > Khoản 5. Xe chuyên dùng phục vụ tang lễ, gồm: > Điểm a. Xe có kết cấu chuyên dùng phục vụ tang lễ (bao gồm: Xe tang, xe tải lạnh dùng để lưu xác và chở xác);"
sf_86d9bc39ace36851,xe công an,VEHICLE,1,review,low_frequency,xe công an,VEHICLE,False,VEHICLE:1,1,1,151_2024_nd_cp.dieu_10.khoan_3.diem_b.passage.s002,xe công an,"151/2024/ND-CP > Chương III. CƠ SỞ DỮ LIỆU VỀ TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ; THU THẬP, QUẢN LÝ, KHAI THÁC, KẾT NỐI, CHIA SẺ THÔNG TIN TRONG CƠ SỞ DỮ LIỆU VỀ TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ > Điều 10. Xây dựng Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ và cơ sở dữ liệu chuyên ngành > Khoản 3. Trách nhiệm xây dựng, quản lý cơ sở dữ liệu chuyên ngành: > Điểm b. Bộ Giao thông vận tải có trách nhiệm xây dựng, quản lý cơ sở dữ liệu sau đây; Cơ sở dữ liệu về đăng kiểm xe cơ giới, xe máy chuyên dùng (trừ xe quân sự, xe công an); Cơ sở dữ liệu về đào tạo, sát hạch, cấp giấy phép lái xe, chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ (trừ dữ liệu về đào tạo, sát hạch, cấp giấy phép lái xe, chứng chỉ bồi dưỡng kiến thức pháp luật của lực lượng quân đội, công an); Cơ sở dữ liệu về người điều khiển xe cơ giới, xe máy chuyên dùng (trừ dữ liệu về người điều khiển xe cơ giới, xe máy chuyên dùng của lực lượng quân đội, công an);"
sf_29e5b5e560c5554b,xe công-ten-nơ,VEHICLE,1,review,low_frequency,xe công-ten-nơ,VEHICLE,False,VEHICLE:1,1,1,158_2024_nd_cp.dieu_76.khoan_3.diem_a.passage.s001,xe công-ten-nơ,"158/2024/ND-CP > Chương V. ĐIỀU KHOẢN THI HÀNH > Điều 76. Điều khoản chuyển tiếp > Khoản 3. Quy định việc chuyển tiếp về cấp và sử dụng phù hiệu đối với xe ô tô kinh doanh vận tải > Điểm a. Đối với xe tuyến cố định, xe buýt, xe taxi, xe tải, xe công-ten-nơ, xe đầu kéo, xe hợp đồng đã được cấp phù hiệu trước ngày Nghị định này có hiệu lực thi hành không phải thực hiện cấp lại cho đến khi hết hiệu lực hoặc đến khi thực hiện cấp lại;"
sf_cc6a65d2d2781a13,xe cơ giới cải tạo,VEHICLE,1,review,low_frequency,xe cơ giới cải tạo,VEHICLE,False,VEHICLE:1,1,1,118_2025_qh15.dieu_7.khoan_9.text_1.passage.s004,xe cơ giới cải tạo,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 9. Sửa đổi, bổ sung khoản 1 Điều 43 như sau: > Đoạn 1"
sf_3643de07b393388a,xe cần cẩu,VEHICLE,1,review,low_frequency,xe cần cẩu,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_6.khoan_3.passage.s001,xe cần cẩu,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 6. Đối tượng miễn thu phí > Khoản 3. Xe chuyên dùng phục vụ quốc phòng bao gồm các xe mang biển số: Nền màu đỏ, chữ và số màu trắng dập chìm có gắn các thiết bị chuyên dụng cho quốc phòng (bao gồm: Xe xi téc, xe cần cẩu, xe chở lực lượng vũ trang hành quân được hiểu là xe ô tô chở người có từ 12 chỗ ngồi trở lên, xe vận tải có mui che và được lắp đặt ghế ngồi trong thùng xe, xe kiểm soát, xe kiểm tra quân sự, xe chuyên dùng chở phạm nhân, xe cứu hộ, cứu nạn, xe thông tin vệ tinh, các xe ô tô đặc chủng khác phục vụ quốc phòng), xe đang đi làm nhiệm vụ khẩn cấp sử dụng một trong các tín hiệu ưu tiên theo quy định của pháp luật trong trường hợp làm nhiệm vụ khẩn cấp."
sf_b3c7351ef8a3e44d,xe của bộ công an,VEHICLE,1,review,low_frequency,xe của bộ công an,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_8.khoan_2.diem_b.passage.s001,xe của Bộ Công an,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 8. Chứng từ thu phí sử dụng đường bộ cao tốc, vé đường bộ toàn quốc đối với xe ô tô của lực lượng quốc phòng, Công an > Khoản 2. Vé đường bộ toàn quốc áp dụng riêng đối với xe ô tô của lực lượng quốc phòng, công an đã nộp phí sử dụng đường bộ thu qua đầu phương tiện đối với xe ô tô, gồm: > Điểm b. Vé đường bộ toàn quốc áp dụng đối với xe của Bộ Công an bao gồm các thông tin sau: Cơ quan phát hành là Cục Đường bộ Việt Nam; loại phương tiện sử dụng gồm 02 loại (xe dưới 7 chỗ ngồi và xe ô tô từ 7 chỗ ngồi trở lên, xe khách, xe vận tải, xe ô tô chuyên dùng); kích cỡ vé có chiều dài nhân (x) chiều rộng là 12 cm x 8 cm; có màu sắc nền vé màu vàng có gạch màu đỏ dọc theo thân vé ở vị trí 1/3 vé tính từ trái sang phải, chữ và số màu đen; biển số xe."
sf_50fbc8462c71078d,xe của lực lượng quân sự,VEHICLE,1,review,low_frequency,xe của lực lượng quân sự,VEHICLE,False,VEHICLE:1,1,1,151_2024_nd_cp.dieu_18.khoan_2.passage.s001,Xe của lực lượng quân sự,"151/2024/ND-CP > Chương IV. QUẢN LÝ, LẮP ĐẶT, SỬ DỤNG THIẾT BỊ PHÁT TÍN HIỆU CỦA XE ƯU TIÊN; TRÌNH TỰ, THỦ TỤC CẤP, THU HỒI GIẤY PHÉP SỬ DỤNG THIẾT BỊ PHÁT TÍN HIỆU CỦA XE ƯU TIÊN > Điều 18. Xe được lắp đặt, sử dụng thiết bị phát tín hiệu của xe ưu tiên > Khoản 2. Xe của lực lượng quân sự đi làm nhiệm vụ khẩn cấp bao gồm: xe quân sự đi thực hiện nhiệm vụ chỉ huy chữa cháy, cứu nạn, cứu hộ, chỉ huy tác chiến, thông tin làm nhiệm vụ hoả tốc, chỉ huy đoàn hành quân, xe làm nhiệm vụ kiểm soát quân sự, kiểm tra xe quân sự, bảo vệ đoàn; xe thực hiện nhiệm vụ bắt, khám xét hoặc thực hiện hoạt động điều tra khác, áp giải bị can, bị cáo, phạm nhân; tham gia phòng, chống khủng bố."
sf_45def276d548a691,xe của đoàn,VEHICLE,1,review,low_frequency,xe của đoàn,VEHICLE,False,VEHICLE:1,1,1,151_2024_nd_cp.dieu_35.khoan_2.passage.s003,xe của đoàn,"151/2024/ND-CP > Chương VI. BẢO ĐẢM TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ ĐỐI VỚI XE Ô TÔ CỦA NGƯỜI NƯỚC NGOÀI ĐĂNG KÝ TẠI NƯỚC NGOÀI CÓ TAY LÁI Ở BÊN PHẢI THAM GIA GIAO THÔNG TẠI VIỆT NAM; XE CƠ GIỚI NƯỚC NGOÀI DO NGƯỜI NƯỚC NGOÀI ĐƯA VÀO VIỆT NAM DU LỊCH > Điều 35. Trách nhiệm của doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam; tổ chức, cá nhân đưa xe ô tô có tay lái ở bên phải vào tham gia giao thông tại Việt Nam không phải mục đích du lịch > Khoản 2. Tổ chức thực hiện việc đưa xe cơ giới nước ngoài vào tham gia giao thông tại Việt Nam và đưa xe cơ giới nước ngoài ra khỏi lãnh thổ Việt Nam theo đúng quy định; bố trí phương tiện, người điều khiển phương tiện hướng dẫn giao thông cho xe cơ giới nước ngoài trong quá trình tham gia giao thông tại Việt Nam; gắn logo nhận diện hoặc cắm cờ có biểu tượng của doanh nghiệp hoặc tổ chức, cá nhân liên quan trên các xe của đoàn."
sf_1777ea38f2b878aa,xe cứu hộ,VEHICLE,1,review,low_frequency,xe cứu hộ,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_6.khoan_4.diem_dd.passage.s001,xe cứu hộ,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 6. Đối tượng miễn thu phí > Khoản 4. Xe chuyên dùng của các đơn vị thuộc hệ thống tổ chức của lực lượng Công an nhân dân bao gồm: > Điểm đ. Xe chở phạm nhân, xe cứu hộ, cứu nạn và các xe chuyên dùng khác của lực lượng Công an nhân dân;"
sf_f6a798e27dcd1e78,"xe cứu hộ, cứu nạn",VEHICLE,1,review,low_frequency,"xe cứu hộ, cứu nạn",VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_6.khoan_3.passage.s001,"xe cứu hộ, cứu nạn","130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 6. Đối tượng miễn thu phí > Khoản 3. Xe chuyên dùng phục vụ quốc phòng bao gồm các xe mang biển số: Nền màu đỏ, chữ và số màu trắng dập chìm có gắn các thiết bị chuyên dụng cho quốc phòng (bao gồm: Xe xi téc, xe cần cẩu, xe chở lực lượng vũ trang hành quân được hiểu là xe ô tô chở người có từ 12 chỗ ngồi trở lên, xe vận tải có mui che và được lắp đặt ghế ngồi trong thùng xe, xe kiểm soát, xe kiểm tra quân sự, xe chuyên dùng chở phạm nhân, xe cứu hộ, cứu nạn, xe thông tin vệ tinh, các xe ô tô đặc chủng khác phục vụ quốc phòng), xe đang đi làm nhiệm vụ khẩn cấp sử dụng một trong các tín hiệu ưu tiên theo quy định của pháp luật trong trường hợp làm nhiệm vụ khẩn cấp."
